date,o,h,l,c,v,v.usd,vwap
2018-03-23 12:41:00,8449.97,8449.97,8447.38,8447.38,0.194736,1645.1980839,8448.3510184
2018-03-23 12:42:00,8447.53,8447.53,8445.0,8445.0,0.33642744,2841.9183215,8447.3440142
2018-03-23 12:43:00,8447.2,8447.2,8415.35,8415.35,8.64415522,72871.428031,8430.1387674
2018-03-23 12:44:00,8415.35,8415.35,8371.32,8403.4,71.67427433,601178.22029,8387.6429292
2018-03-23 12:45:00,8403.4,8411.08,8395.88,8403.59,13.19344993,110886.99649,8404.7005963
2018-03-23 12:46:00,8397.29,8397.3,8369.0,8387.43,16.9775981,142317.83523,8382.6837217
2018-03-23 12:47:00,8394.59,8402.1,8387.5,8401.78,1.137947,9547.1188556,8389.7746166
2018-03-23 12:48:00,8402.04,8411.69,8391.99,8406.67,0.38671298,3246.558231,8395.2657369
2018-03-23 12:49:00,8406.7,8406.7,8380.74,8395.39,5.02299513,42138.018568,8389.0223816
2018-03-23 12:50:00,8397.09,8397.21,8383.2,8390.0,2.51539218,21105.501406,8390.5410749
2018-03-23 12:51:00,8388.19,8393.59,8360.01,8370.57,76.28058609,638695.7666,8372.9792774
2018-03-23 12:52:00,8360.5,8369.69,8350.44,8361.5,52.87928123,441981.6445,8358.3141492
2018-03-23 12:53:00,8364.12,8368.19,8356.01,8358.0,9.71760671,81250.925675,8361.2074557
2018-03-23 12:54:00,8350.45,8356.17,8350.45,8356.17,7.86145399,65689.585723,8355.9079283
2018-03-23 12:55:00,8356.43,8356.67,8300.0,8300.0,88.81209597,739566.37555,8327.3158625
2018-03-23 12:56:00,8300.0,8304.2,8265.0,8304.2,176.67599659,1461887.7581,8274.3993885
2018-03-23 12:57:00,8304.2,8324.26,8300.07,8307.41,48.44440449,402831.64615,8315.3390034
2018-03-23 12:58:00,8319.07,8328.0,8309.6,8313.81,50.57202704,420419.91506,8313.2897705
2018-03-23 12:59:00,8325.56,8325.56,8307.39,8311.06,7.23593821,60139.965014,8311.2878067
